POD01-OSAKA-OSK01-VB09-AMP-VB_MGMT-VUM-A,VBOdhv-044a
POD01-OSAKA-OSK01-VB09-AMP-VB_MGMT-VUM-B,VBOdhv-044b
POD01-TOKYO-TKY01-VB01-AMP-DC_MGMT-ESRS-01,VBCdhv-007
POD01-TOKYO-TKY01-VB01-AMP-DC_MGMT-ESRS-02,VBCdhv-008
POD01-TOKYO-TKY01-VB01-AMP-DC_MGMT-ESRS-03,VBCdhv-009
POD01-TOKYO-TKY01-VB01-AMP-ESX_AGENT-DSVA-01,VBCdhv-058
POD01-TOKYO-TKY01-VB01-AMP-ESX_AGENT-DSVA-02,VBCdhv-059
POD01-TOKYO-TKY01-VB01-AMP-ESX_AGENT-VADP-01,VBCdap-035
POD01-TOKYO-TKY01-VB01-AMP-ESX_AGENT-VADP-02,VBCdap-036
POD01-TOKYO-TKY01-VB01-AMP-REGION_MGMT-SRM,VBCdhv-037
POD01-TOKYO-TKY01-VB01-AMP-VB_MGMT-AM,VBCdhv-010
POD01-TOKYO-TKY01-VB01-AMP-VB_MGMT-SPLF,VBCdhv-splidx01
POD01-TOKYO-TKY01-VB01-AMP-VB_MGMT-VC-A,VBCdhv-003-P
POD01-TOKYO-TKY01-VB01-AMP-VB_MGMT-VC-B,VBCdhv-003-HB
POD01-TOKYO-TKY01-VB01-AMP-VB_MGMT-VCDB-A,VBCdhv-005-P
POD01-TOKYO-TKY01-VB01-AMP-VB_MGMT-VCDB-B,VBCdhv-005-HB
POD01-TOKYO-TKY01-VB01-AMP-VB_MGMT-VUM-A,VBCdhv-004a
POD01-TOKYO-TKY01-VB01-AMP-VB_MGMT-VUM-B,VBCdhv-004b
POD01-TOKYO-TKY01-VB01-MGMT-DAAS_MGMT-LB-A,VBCdhv-elb01-0
POD01-TOKYO-TKY01-VB01-MGMT-DAAS_MGMT-LB-B,VBCdhv-elb01-1
POD01-TOKYO-TKY01-VB01-MGMT-DAAS_MGMT-VCD-A,VBCdhv-cd01
POD01-TOKYO-TKY01-VB01-MGMT-DAAS_MGMT-VCD-B,VBCdhv-cd02
POD01-TOKYO-TKY01-VB01-MGMT-DAAS_MGMT-VCDDB-A,VBCdhv-db02a
POD01-TOKYO-TKY01-VB01-MGMT-DAAS_MGMT-VCDDB-B,VBCdhv-db02b
POD01-TOKYO-TKY01-VB01-MGMT-DC_MGMT-AD-A,VBCdhv-001
POD01-TOKYO-TKY01-VB01-MGMT-DC_MGMT-AD-B,VBCdhv-002
POD01-TOKYO-TKY01-VB01-MGMT-DC_MGMT-SSO-A,VBCdhv-006-P
POD01-TOKYO-TKY01-VB01-MGMT-DC_MGMT-SSO-B,VBCdhv-006-HB
POD01-TOKYO-TKY01-VB01-MGMT-DC_MGMT_REPLICA_VB08-SSO-A,VBOdhv-026a
POD01-TOKYO-TKY01-VB01-MGMT-DC_MGMT_REPLICA_VB08-SSO-B,VBOdhv-026b
POD01-TOKYO-TKY01-VB01-MGMT-ESX_AGENT-DSVA-01,VBCdhv-054
POD01-TOKYO-TKY01-VB01-MGMT-ESX_AGENT-DSVA-02,VBCdhv-055
POD01-TOKYO-TKY01-VB01-MGMT-ESX_AGENT-DSVA-03,VBCdhv-056
POD01-TOKYO-TKY01-VB01-MGMT-ESX_AGENT-DSVA-04,VBCdhv-057
POD01-TOKYO-TKY01-VB01-MGMT-ESX_AGENT-VADP-01,VBCdap-031
POD01-TOKYO-TKY01-VB01-MGMT-ESX_AGENT-VADP-02,VBCdap-032
POD01-TOKYO-TKY01-VB01-MGMT-ESX_AGENT-VADP-03,VBCdap-033
POD01-TOKYO-TKY01-VB01-MGMT-ESX_AGENT-VADP-04,VBCdap-034
POD01-TOKYO-TKY01-VB01-MGMT-IAAS_MGMT-CB-01,VBCdhv-cb01
POD01-TOKYO-TKY01-VB01-MGMT-IAAS_MGMT-CB-02,VBCdhv-cb02
POD01-TOKYO-TKY01-VB01-MGMT-IAAS_MGMT-CB-03,VBCdhv-cb03
POD01-TOKYO-TKY01-VB01-MGMT-IAAS_MGMT-LB-A,VBCdhv-elb03-0
POD01-TOKYO-TKY01-VB01-MGMT-IAAS_MGMT-LB-B,VBCdhv-elb03-1
POD01-TOKYO-TKY01-VB01-MGMT-IAAS_MGMT-VCD-A,VBCdhv-cd03
POD01-TOKYO-TKY01-VB01-MGMT-IAAS_MGMT-VCD-B,VBCdhv-cd04
POD01-TOKYO-TKY01-VB01-MGMT-IAAS_MGMT-VCDDB-A,VBCdhv-db03a
POD01-TOKYO-TKY01-VB01-MGMT-IAAS_MGMT-VCDDB-B,VBCdhv-db03b
POD01-TOKYO-TKY01-VB01-MGMT-POD_MGMT-HYPRC,VBCdhv-hyp01
POD01-TOKYO-TKY01-VB01-MGMT-POD_MGMT-SPRI,VBCdhv-splidx01
POD01-TOKYO-TKY01-VB01-MGMT-POD_MGMT-UM,vCloud Usage Meter
POD01-TOKYO-TKY01-VB01-MGMT-POD_MGMT-VCO,VBCdhv-vco01
POD01-TOKYO-TKY01-VB01-MGMT-POD_MGMT-VCOPS-01,Analytics VM
POD01-TOKYO-TKY01-VB01-MGMT-POD_MGMT-VCOPS-02,UI VM
POD01-TOKYO-TKY01-VB01-MGMT-REGION_MGMT-AD_IAAS-A,VBCdhv-063
POD01-TOKYO-TKY01-VB01-MGMT-REGION_MGMT-AD_IAAS-B,VBCdhv-064
POD01-TOKYO-TKY01-VB01-MGMT-REGION_MGMT-DS,VBCdhv-067
POD01-TOKYO-TKY01-VB01-MGMT-REGION_MGMT-DSDB,VBCdhv-068
POD01-TOKYO-TKY01-VB01-MGMT-REGION_MGMT-SRM_EDGE,VBCdhv-100-0
POD01-TOKYO-TKY01-VB01-MGMT-REGION_MGMT-VSRA-01,VBCdhv-038
POD01-TOKYO-TKY01-VB01-MGMT-REGION_MGMT-VSRA-02,VBCdhv-rep02
POD01-TOKYO-TKY01-VB01-MGMT-VB_MGMT_REPLICA_VB08-SPLF,VB8-SPLUNK
POD01-TOKYO-TKY01-VB01-MGMT-VB_MGMT_REPLICA_VB09-SPLF,VB09-Splunk
POD01-TOKYO-TKY01-VB01-MGMT-VB_MGMT_REPLICA_VB09-VC-A,VBOdhv-043a
POD01-TOKYO-TKY01-VB01-MGMT-VB_MGMT_REPLICA_VB09-VC-B,VBOdhv-043b
POD01-TOKYO-TKY01-VB01-MGMT-VB_MGMT_REPLICA_VB09-VCDB-LS,VBCdhv-050 (VBOdhv-045 Test)
POD01-TOKYO-TKY01-VB01-MGMT-VB_MGMT_REPLICA_VB09-VCDB-M,VBCdhv-049 (VBOdhv-045 Failover)
POD01-TOKYO-TKY01-VB01-MGMT-VB_MGMT_REPLICA_VB09-VUM-A,VBOdhv-044a
POD01-TOKYO-TKY01-VB01-MGMT-VB_MGMT_REPLICA_VB09-VUM-B,VBOdhv-044b
POD01-TOKYO-TKY01-VB01-MGMT-VB_MGMT_VSM_REPLICA_VB08-VSM,VBOdhv-062
POD01-TOKYO-TKY01-VB01-MGMT-VB_MGMT_VSM_REPLICA_VB09-VSM,VBCdhv-vs09
POD01-TOKYO-TKY01-VB01-MGMT-VB_MGMT_VSM_VB01-VSM,VBCdhv-vs03
